subject_id,stimulus,stimulus_width_px,reported_width,final_height_px,final_width_px,scale_factor,responses,target_width,phase,prolific_id,user_agent,session_id,button_pressed
dbx976rtd81s7hhn5dk2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,introduction,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,NULL
dbx976rtd81s7hhn5dk2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,instructions,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,NULL
dbx976rtd81s7hhn5dk2,box2,275,2.86,NULL,NULL,NULL,NULL,2.75,pre-calibration,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,NULL
dbx976rtd81s7hhn5dk2,box1,250,2.62,NULL,NULL,NULL,NULL,2.5,pre-calibration,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,NULL
dbx976rtd81s7hhn5dk2,box3,300,3.12,NULL,NULL,NULL,NULL,3,pre-calibration,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,NULL
dbx976rtd81s7hhn5dk2,box5,350,3.69,NULL,NULL,NULL,NULL,3.5,pre-calibration,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,NULL
dbx976rtd81s7hhn5dk2,box4,325,3.38,NULL,NULL,NULL,NULL,3.25,pre-calibration,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,NULL
dbx976rtd81s7hhn5dk2,NULL,NULL,NULL,288,288,0.9600000000000000,NULL,NULL,calibration,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,NULL
dbx976rtd81s7hhn5dk2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,instructions,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,NULL
dbx976rtd81s7hhn5dk2,box4,325,3.25,NULL,NULL,NULL,NULL,3.25,post-calibration,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,NULL
dbx976rtd81s7hhn5dk2,box5,350,3.5,NULL,NULL,NULL,NULL,3.5,post-calibration,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,NULL
dbx976rtd81s7hhn5dk2,box1,250,2.5,NULL,NULL,NULL,NULL,2.5,post-calibration,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,NULL
dbx976rtd81s7hhn5dk2,box3,300,3,NULL,NULL,NULL,NULL,3,post-calibration,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,NULL
dbx976rtd81s7hhn5dk2,box2,275,2.75,NULL,NULL,NULL,NULL,2.75,post-calibration,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,NULL
dbx976rtd81s7hhn5dk2,NULL,NULL,NULL,NULL,NULL,NULL,"{""Q0"":[""Credit/Debit card"",""Driver's License / Non-driver identification card"",""3x5\"" index card"",""U.S. Quarter"",""U.S. Dime"",""U.S. Nickel""]}",NULL,item_survey,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,NULL
dbx976rtd81s7hhn5dk2,"<p>Your answer",NULL,NULL,NULL,NULL,NULL,NULL,NULL,validation,5961039ad865d10001cd6475,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cee46739fc30001e0ba62,0
eufvmbegjx8642d8bvzb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,introduction,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,NULL
eufvmbegjx8642d8bvzb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,instructions,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,NULL
eufvmbegjx8642d8bvzb,box4,325,3.25,NULL,NULL,NULL,NULL,3.25,pre-calibration,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,NULL
eufvmbegjx8642d8bvzb,box1,250,2.5,NULL,NULL,NULL,NULL,2.5,pre-calibration,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,NULL
eufvmbegjx8642d8bvzb,box5,350,3.5,NULL,NULL,NULL,NULL,3.5,pre-calibration,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,NULL
eufvmbegjx8642d8bvzb,box2,275,2.75,NULL,NULL,NULL,NULL,2.75,pre-calibration,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,NULL
eufvmbegjx8642d8bvzb,box3,300,3,NULL,NULL,NULL,NULL,3,pre-calibration,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,NULL
eufvmbegjx8642d8bvzb,NULL,NULL,NULL,300,300,1.0000000000000000,NULL,NULL,calibration,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,NULL
eufvmbegjx8642d8bvzb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,instructions,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,NULL
eufvmbegjx8642d8bvzb,box5,350,3.5,NULL,NULL,NULL,NULL,3.5,post-calibration,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,NULL
eufvmbegjx8642d8bvzb,box4,325,3.25,NULL,NULL,NULL,NULL,3.25,post-calibration,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,NULL
eufvmbegjx8642d8bvzb,box1,250,2.5,NULL,NULL,NULL,NULL,2.5,post-calibration,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,NULL
eufvmbegjx8642d8bvzb,box2,275,2.75,NULL,NULL,NULL,NULL,2.75,post-calibration,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,NULL
eufvmbegjx8642d8bvzb,box3,300,3,NULL,NULL,NULL,NULL,3,post-calibration,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,NULL
eufvmbegjx8642d8bvzb,NULL,NULL,NULL,NULL,NULL,NULL,"{""Q0"":[""Credit/Debit card"",""U.S. Dime"",""U.S. Nickel"",""CD/DVD""]}",NULL,item_survey,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,NULL
eufvmbegjx8642d8bvzb,"<p>Your answer",NULL,NULL,NULL,NULL,NULL,NULL,NULL,validation,5962eb69241f8d0001064bd3,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",596cefa9cfe16100019a2958,0
334rfs87ma7tex5f5auj,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,introduction,NULL,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",NULL,NULL
334rfs87ma7tex5f5auj,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,instructions,NULL,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",NULL,NULL
334rfs87ma7tex5f5auj,box5,350,3.25,NULL,NULL,NULL,NULL,3.5,pre-calibration,NULL,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",NULL,NULL
334rfs87ma7tex5f5auj,box2,275,2.5,NULL,NULL,NULL,NULL,2.75,pre-calibration,NULL,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",NULL,NULL
334rfs87ma7tex5f5auj,box1,250,2.25,NULL,NULL,NULL,NULL,2.5,pre-calibration,NULL,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",NULL,NULL
334rfs87ma7tex5f5auj,box4,325,3,NULL,NULL,NULL,NULL,3.25,pre-calibration,NULL,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",NULL,NULL
334rfs87ma7tex5f5auj,box3,300,2.75,NULL,NULL,NULL,NULL,3,pre-calibration,NULL,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",NULL,NULL
334rfs87ma7tex5f5auj,NULL,NULL,NULL,312,312,1.0400000000000000,NULL,NULL,calibration,NULL,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",NULL,NULL
334rfs87ma7tex5f5auj,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,instructions,NULL,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",NULL,NULL
334rfs87ma7tex5f5auj,box5,350,3.5,NULL,NULL,NULL,NULL,3.5,post-calibration,NULL,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",NULL,NULL
